respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
7197000003,7,2,1,3,1,48,3,1,20260,27,137,0135.00,3,5,6,8,3,5,39,2,,,,NA,2,1
7197000003,7,1,1,3,1,212,3,1,33460,27,053,1052.01,2,2,5,5,1,2,37,1,,,,NA,2,1
7197000003,7,1,1,3,1,99,3,1,NA,27,061,4810.00,2,5,5,8,2,5,65,1,,,,NA,2,1
7197000003,7,1,1,3,1,338,3,1,33460,27,171,1008.02,3,3,6,6,3,3,180,1,,,,NA,2,1
7197000003,7,1,1,3,1,76,3,3,33460,27,053,0268.18,2,5,5,8,2,5,22,0,7,,,NA,2,1
7197000003,7,1,1,3,1,131,3,3,NA,27,085,9503.00,3,5,6,8,3,5,38,0,4,,,NA,2,1
7197000003,7,1,1,3,1,74,3,1,NA,27,015,9601.01,2,5,6,8,1,5,42,1,,,,NA,2,1
7197000003,7,3,1,3,1,159,3,3,NA,27,121,9701.00,3,3,6,6,3,3,35,0,4,,,NA,2,1
7197000003,7,1,1,3,1,184,3,3,33460,27,003,0502.20,2,5,5,8,1,5,52,0,9,,,NA,2,1
7197000003,7,1,1,1,1,104,2,1,33460,27,059,1303.01,2,5,5,8,2,5,33,3,,,,NA,2,1
7197000003,7,1,1,3,1,107,3,1,33460,27,053,0001.01,2,5,3,8,1,5,45,1,,,,NA,2,1
7197000003,7,2,1,1,1,260,2,3,33460,27,053,0121.01,2,5,5,8,1,5,53,0,4,,,NA,2,1
7197000003,7,2,1,3,1,34,3,1,31860,27,013,1703.00,2,5,5,8,2,5,12,2,,,,NA,2,1
7197000003,7,1,1,3,1,129,3,1,NA,27,057,0701.00,2,5,5,8,2,5,56,1,,,,NA,2,1
7197000003,7,1,1,3,1,132,3,3,33460,27,053,0233.00,2,2,6,6,1,2,63,0,7,,,NA,2,1
7197000003,7,1,1,3,1,185,3,1,33460,27,171,1001.00,2,2,5,5,2,1,100,1,,,,NA,2,1
7197000003,7,1,1,3,1,168,3,1,33460,27,037,0608.11,2,2,5,5,1,2,83,3,,,,NA,2,1
7197000003,7,1,1,3,1,158,3,3,33460,27,037,0602.01,3,3,6,6,1,2,50,0,1,,,NA,2,1
7197000003,7,1,1,3,1,309,3,3,NA,27,041,4506.00,3,3,6,6,1,2,234,0,7,,,NA,2,1
7197000003,7,1,1,3,1,279,3,1,33460,27,053,0260.14,3,3,6,6,1,2,150,1,,,,NA,2,1
7197000003,7,1,1,3,1,323,3,1,33460,27,053,0257.01,3,5,6,8,3,5,119,1,,,,NA,2,1
7197000003,7,1,1,3,1,65,3,1,NA,27,161,7905.00,3,5,6,8,3,5,44,3,,,,NA,2,1
7197000003,7,1,1,3,1,220,3,3,33460,27,053,0242.00,2,5,5,8,2,5,85,0,7,,,NA,2,1
7197000003,7,1,1,3,1,305,3,1,NA,27,131,0705.04,2,2,5,5,1,2,93,1,,,,NA,2,1
7197000003,7,1,1,3,1,400,3,1,33460,27,053,0271.01,3,3,6,6,3,1,269,1,,,,NA,2,1
7197000003,7,1,1,3,1,241,3,1,33460,27,037,0608.14,2,2,5,5,2,1,95,1,,,,NA,2,1
7197000003,7,1,1,3,1,189,3,1,NA,27,041,4508.00,2,2,5,5,2,1,42,3,,,,NA,2,1
7197000003,7,1,1,3,1,176,3,1,33460,27,163,0712.07,2,5,5,8,1,5,75,1,,,,NA,2,1
7197000003,7,1,1,3,1,67,3,1,NA,27,107,9603.00,2,2,5,5,1,2,62,1,,,,NA,2,1
7197000003,7,1,1,3,1,188,3,1,33460,27,037,0607.50,3,5,6,8,3,5,80,1,,,,NA,2,1
7197000003,7,1,1,3,1,131,3,1,33460,27,163,0709.09,3,5,6,8,3,5,78,1,,,,NA,2,1
7197000003,7,1,1,3,1,98,3,3,20260,27,137,0152.00,3,5,6,8,3,5,43,0,7,,,NA,2,1
7197000003,7,1,1,3,1,88,3,1,33460,27,171,1007.03,3,3,6,6,3,3,37,1,,,,NA,2,1
7197000003,7,1,1,1,1,124,2,1,33460,27,141,0301.01,3,5,6,8,3,5,58,3,,,,NA,2,1
7197000003,7,3,1,3,1,97,3,3,33460,27,171,1007.03,3,5,6,8,3,5,34,0,4,,,NA,2,1
7197000003,7,2,1,3,1,74,3,3,NA,27,127,7504.00,2,5,5,8,1,5,29,0,7,,,NA,2,1
7197000003,7,2,1,3,1,99,3,1,40340,27,109,0003.00,2,1,5,5,2,1,75,2,,,,NA,2,1
7197000003,7,2,1,1,1,243,2,1,33460,27,123,0405.03,2,2,3,2,1,2,106,2,,,,NA,2,1
7197000003,7,1,1,3,1,128,3,1,33460,27,003,0507.12,2,5,5,8,1,5,54,1,,,,NA,2,1
7197000003,7,3,1,3,1,207,3,3,33460,27,003,0513.02,3,5,6,8,3,5,90,0,4,7,,NA,2,1
7197000003,7,1,1,3,1,435,3,1,33460,27,053,0267.15,2,2,5,5,1,2,205,9,,,,NA,2,1
7197000003,7,1,1,3,1,65,3,1,NA,27,115,9505.00,2,5,5,8,1,5,50,1,,,,NA,2,1
7197000003,7,3,1,3,1,153,3,1,20260,27,137,0104.00,3,5,6,8,3,5,73,2,,,,NA,2,1
7197000003,7,1,1,3,1,169,3,1,NA,27,165,9501.00,2,2,5,5,2,1,125,3,,,,NA,2,1
7197000003,7,1,1,3,1,217,3,1,33460,27,139,0806.00,2,2,5,5,1,2,71,3,,,,NA,2,1
7197000003,7,1,1,3,1,279,3,1,NA,27,035,9509.00,3,3,6,6,3,3,94,1,,,,NA,2,1
7197000003,7,3,1,3,1,137,3,3,33460,27,123,0422.02,2,5,5,8,1,5,32,0,4,,,NA,2,1
7197000003,7,2,1,3,1,239,3,3,33460,27,123,0413.02,3,5,6,8,3,5,120,0,7,,,NA,2,1
7197000003,7,1,1,1,1,369,2,1,33460,27,163,0702.03,3,5,6,8,3,5,142,1,,,,NA,2,1
7197000003,7,1,1,3,1,384,3,3,33460,27,053,0269.09,2,2,6,6,1,2,124,0,4,,,NA,2,1
7197000003,7,2,1,3,1,85,3,1,NA,27,061,4803.00,2,5,5,8,2,5,43,2,,,,NA,2,1
7197000003,7,3,1,1,1,50,2,1,NA,27,159,4803.00,1,1,6,6,1,2,39,2,,,,NA,2,1
7197000003,7,1,1,3,1,168,3,1,20260,27,017,0703.00,3,5,6,8,3,5,84,1,,,,NA,2,1
7197000003,7,2,1,3,1,59,3,1,NA,27,061,4803.00,3,5,6,8,3,5,18,2,,,,NA,2,1
7197000003,7,2,1,3,1,246,3,1,33460,27,123,0364.00,3,5,6,8,3,5,82,2,,,,NA,2,1
